sku_id,product_name,brand,category,subcategory,base_price,quality_score,price_tier,overpriced_flag,weak_listing_flag
NPA-0001,NorthPeak Athletics AirLite Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,250.0,0.704,Value,True,False
NPA-0002,NorthPeak Athletics Breeze Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,996.0,0.685,Premium,False,False
NPA-0003,NorthPeak Athletics SunCore Training Pants,NorthPeak Athletics,Sports & Outdoor,Training Pants,583.0,0.896,Mid-Market,False,False
NPA-0004,NorthPeak Athletics Minimal Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,547.0,0.788,Mid-Market,False,False
NPA-0005,NorthPeak Athletics CloudSoft Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,362.0,0.611,Value,True,False
NPA-0006,NorthPeak Athletics Featherweight Training Shoes,NorthPeak Athletics,Sports & Outdoor,Training Shoes,600.0,0.855,Mid-Market,False,False
NPA-0007,NorthPeak Athletics Classic Shell Jacket,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,306.0,0.686,Value,False,False
NPA-0008,NorthPeak Athletics New Season Training Pants,NorthPeak Athletics,Sports & Outdoor,Training Pants,464.0,0.438,Value,True,False
NPA-0009,NorthPeak Athletics Everyday Yoga Set,NorthPeak Athletics,Sports & Outdoor,Yoga Set,810.0,0.469,Mid-Market,False,True
NPA-0010,NorthPeak Athletics Comfort Fit Shell Jacket,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,220.0,0.584,Value,False,False
NPA-0011,NorthPeak Athletics Urban Training Pants,NorthPeak Athletics,Sports & Outdoor,Training Pants,434.0,0.545,Value,False,False
NPA-0012,NorthPeak Athletics Lumen Training Shoes,NorthPeak Athletics,Sports & Outdoor,Training Shoes,235.0,0.428,Value,True,False
NPA-0013,NorthPeak Athletics Breathable Swimwear,NorthPeak Athletics,Sports & Outdoor,Swimwear,820.0,0.897,Mid-Market,False,True
NPA-0014,NorthPeak Athletics GripPro Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,865.0,0.619,Mid-Market,False,False
NPA-0015,NorthPeak Athletics CushionFlex Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,235.0,0.516,Value,False,False
NPA-0016,NorthPeak Athletics Trail Ready Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,615.0,0.631,Mid-Market,True,False
NPA-0017,NorthPeak Athletics Limited Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,903.0,0.561,Mid-Market,False,False
NPA-0018,NorthPeak Athletics Vintage Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,723.0,0.383,Mid-Market,True,False
NPA-0019,NorthPeak Athletics TechFeel Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,1007.0,0.572,Premium,False,False
NPA-0020,NorthPeak Athletics Durable Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,735.0,0.821,Mid-Market,True,False
NPA-0021,NorthPeak Athletics AirLite Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,535.0,0.606,Mid-Market,False,False
NPA-0022,NorthPeak Athletics Breeze Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,967.0,0.437,Premium,False,True
